TotalSamples,Iteration,MaximumReturn,MinimumReturn,AverageReturn
3332,,-0.06672720916719756,-2.197883626059512,-0.2551062922899074
4998,1,-3.3226629637698064,-63.963268144664156,-42.49527324461526
6664,2,-0.09009928062652509,-78.89003556609153,-22.87671115660193
8330,3,-0.057928390580206664,-0.12988924345930616,-0.09699532677586946
9996,4,-0.002385656550364007,-0.004250002903531069,-0.0034265426418013303
11662,5,-0.0038504185033469284,-0.006809624369704763,-0.0050905298894527206
13328,6,-0.04092800260003794,-0.08125315367746855,-0.0610372223582882
14994,7,-0.0031992525336788508,-0.006354414613986247,-0.004514651364686741
16660,8,-0.0006229261745184096,-0.001763372775437698,-0.0009664439463436492
18326,9,-0.022370400098608894,-0.03157699937031262,-0.025577236903502654
19992,10,-0.0007047114839097066,-0.0015342712765946678,-0.0009805127755957176
21658,11,-0.0005673070367687643,-0.006031509440849104,-0.001991802557922441
23324,12,-0.0005342835952427584,-0.006768425605896635,-0.002078468493702731
24990,13,-0.0005853062958353453,-0.011023405252691666,-0.002282576764116666
26656,14,-0.000561135629988696,-0.008806760506009053,-0.0015890960922605281
28322,15,-0.0006208842779632935,-0.004206467202034945,-0.0015325813963448396
29988,16,-0.0005987799150565016,-0.005012376314323343,-0.0012721374350315592
31654,17,-0.0005660356577414975,-0.008912906146066171,-0.0015664155630614783
33320,18,-0.0005076848956355944,-0.008565537877100488,-0.0012721100284175011
34986,19,-0.0006027734332766197,-0.009776796566481505,-0.0025300866359260293
36652,20,-0.0006334667404503582,-0.16882946790873324,-0.015006963115861948
38318,21,-0.0006023236842892293,-0.15198357222172829,-0.011161431355962452
39984,22,-0.0006153003306609724,-21.81147244956049,-0.8806690302856691
41650,23,-0.0005814815490922284,-0.04804941806998973,-0.005121963290309982
43316,24,-0.0005265552522913842,-1.3858749307980947,-0.0584235821117095
44982,25,-0.0006066624510656798,-0.7273197670666678,-0.03446078998211562
46648,26,-0.014937905727869873,-3.898825505781613,-0.17960692563341676
48314,27,-0.02831780107284936,-0.060027063408343705,-0.040287631813348976
49980,28,-0.0011014613257338938,-0.013480128498668224,-0.006314964676032585
51646,29,-0.0011483331343480057,-0.01822672011419972,-0.008340130321513069
53312,30,-0.0004984732463313948,-0.016341774461876114,-0.004429532767396708
54978,31,-0.0005618572590649499,-7.3690225807391725,-0.2980247811452265
56644,32,-0.05668571692077451,-95.81828574810731,-41.79681299951665
58310,33,-0.0005664747144635677,-60.420015159111955,-4.701518494124669
59976,34,-0.0005268911607702979,-44.800649394513954,-1.9980654959293533
61642,35,-0.0005781109060476522,-0.08050144135447036,-0.014684414771638407
63308,36,-0.0006402462575857338,-28.967232216491865,-1.1701822211277209
64974,37,-0.0008032127212946208,-42.05678287481868,-4.793702342986851
66640,38,-0.0008218137516608338,-102.78472243909056,-25.366444168152793
68306,39,-0.000633583463259775,-91.16664850614951,-3.6768111972164563
69972,40,-0.0005379717928597712,-82.60213695193092,-3.381138684363421
71638,41,-0.0005734945969331713,-87.65993534382558,-4.675670210831994
73304,42,-0.0007446952800405579,-100.40073325904618,-15.027250881993213
74970,43,-0.09463313304874951,-101.03628190011364,-57.894757128556904
76636,44,-0.0009556571584455128,-76.28561588466806,-24.157552937054117
78302,45,-0.0008034842921910689,-55.11109867300875,-10.869618231196235
79968,46,-0.0005384899332915888,-12.489514003167557,-0.5039581921758531
81634,47,-0.0006549549556670095,-43.16616455744856,-2.0930123657899085
83300,48,-0.000568390363594879,-46.69444244813088,-1.8770707636196684
84966,49,-0.0005756350969453224,-87.22991896407864,-4.2329426377728865
86632,50,-0.0006503022220432772,-96.97672299352504,-6.5355264562534945
88298,51,-0.000529901637444265,-55.80061301937757,-2.2385576208141997
89964,52,-0.0005551973750377605,-96.72723161531603,-8.100434182640424
91630,53,-0.0005771037095009257,-110.2203215021888,-10.593408970264507
93296,54,-0.0006228023534268426,-116.34677965325724,-8.465870471363225
94962,55,-0.0006350095706082796,-106.06543012462396,-9.572848851123336
96628,56,-0.0005601605646586062,-112.41705931793925,-11.434283175497871
98294,57,-0.0004683962222339056,-92.41857589862106,-5.217837104664567
99960,58,-0.0011372296598784726,-92.65119453785199,-30.811969580615273
101626,59,-0.12563603397677808,-0.32029160209230034,-0.20411554930610026
103292,60,-0.05259078052400169,-0.1653765593528953,-0.09766582011042109
104958,61,-0.0007299422566710986,-0.11414328161111097,-0.010149390240184342
106624,62,-0.000703752748128637,-0.1358351124427896,-0.013791715796117014
108290,63,-0.0006060611432859333,-1.330489550045078,-0.05715026655623559
109956,64,-0.000579954438871366,-0.08710477112684742,-0.015506915542047552
111622,65,-0.0006709439820575963,-61.00107607102785,-2.4452031755589565
113288,66,-0.238531740723276,-13.546178353683882,-0.9698220545385305
114954,67,-0.0007689310138310899,-0.22860417974305716,-0.06658922089412493
116620,68,-0.0005916209786034798,-0.16366433812923414,-0.007286100889452566
118286,69,-0.000818074564961152,-2.725072020798967,-0.13334890426868523
119952,70,-0.0006891479094135671,-5.789799090493634,-0.25394755733662666
121618,71,-0.0006584994246430522,-0.13787746608324133,-0.02646476395536853
123284,72,-0.0006479843052100149,-35.83442138899251,-1.7349784629477114
124950,73,-0.0006139380743174388,-40.039856927114826,-2.0170235198636464
126616,74,-0.000699332801447212,-40.504293438314576,-2.996432210470944
128282,75,-0.0007361931212959198,-20.821450699325407,-1.2842212229678691
129948,76,-1.1137485927946673,-94.01612645816944,-61.98886074491111
131614,77,-0.0007310979030907254,-90.41152709935284,-6.894389494056826
133280,78,-0.000811448539176232,-29.045075043368215,-2.290555460211171
134946,79,-0.0006347726339952795,-1.4311093881154633,-0.0611391002851623
